Day	Sleep-Time	Sleep-Perc	REM	Light	Deep	Bed-Time	Bed-Zscore	Wake-Time	Wake-Zscore	Fat-Perc	Prot-Perc	Carb-Perc	Daily-Na	Daily-K	Daily-Mg	Daily-Ca	Na-K	Ca-Mg	Daily-Caff	Bed-Caff	Caff-Mg	Caff-Na	Caff-K	RHR	HRV	BR	Deep-Perc	REC1	REC2	REC3
1	8.25	81	1.88	5.52	1.02	2151	-0.040	737	0.043	82	17	1	6899	1602	200	1271	4	6	300	1700	1.50	0.04	0.19	65	39	13	0.123	0.047	0.569	0.381
2	7.32	83	2.12	4.63	0.57	2153	-0.039	604	-0.146	80	20	0	7703	2772	190	1831	3	10	440	1400	2.32	0.06	0.16	65	51	13	0.077	0.034	0.467	0.442
3	7.97	77	1.65	5.73	0.58	2224	-0.008	719	0.017	78	20	2	9386	2676	227	211	4	1	400	1400	1.76	0.04	0.15	63	41	14	0.073	0.027	0.340	0.370
4	7.62	80	2.03	5.50	0.08	2158	-0.037	621	-0.121	75	24	1	7077	3121	262	283	2	1	300	1830	1.15	0.04	0.10	63	57	13	0.011	0.006	0.076	0.530
5	5.97	64	1.55	3.85	0.57	2449	0.093	815	0.153	78	21	1	10076	3276	207	231	3	1	700	2130	3.38	0.07	0.21	63	42	13	0.095	0.029	0.487	0.306
6	8.85	80	1.73	6.08	1.03	2152	-0.040	744	0.053	74	26	0	7380	4073	307	427	2	1	500	1500	1.63	0.07	0.12	63	36	13	0.117	0.045	0.513	0.389
7	8.28	89	1.98	5.07	1.23	2207	-0.015	712	0.007	49	50	1	8060	4415	368	549	2	1	300	1600	0.82	0.04	0.07	66	70	13	0.149	0.101	1.215	0.676
8	8.18	84	1.87	5.73	0.58	2203	-0.017	714	0.010	73	26	2	8564	3751	306	490	2	2	300	1600	0.98	0.04	0.08	64	40	13	0.071	0.028	0.343	0.393
9	7.13	80	2.35	4.45	0.33	2310	0.031	716	0.013	77	23	0	8859	4082	343	2057	2	6	400	1630	1.17	0.05	0.10	65	49	15	0.047	0.017	0.235	0.358
10	6.07	76	1.27	4.08	0.72	2431	0.085	710	0.004	68	30	1	10864	5818	447	541	2	1	400	2130	0.89	0.04	0.07	64	49	15	0.118	0.037	0.603	0.310
11	7.80	76	1.28	5.83	0.68	2222	-0.009	726	0.027	78	21	1	7203	3650	365	428	2	1	500	1530	1.37	0.07	0.14	65	42	13	0.088	0.034	0.435	0.388
12	6.70	77	1.57	4.37	0.77	2334	0.041	723	0.023	82	18	0	6977	2847	212	371	2	2	600	1900	2.83	0.09	0.21	65	53	13	0.114	0.048	0.718	0.420
13	8.55	75	1.82	6.30	0.43	2213	-0.013	835	0.181	67	27	6	10535	2440	190	448	4	2	300	1900	1.58	0.03	0.12	64	47	15	0.051	0.021	0.248	0.419
14	7.17	79	1.48	5.02	0.67	2249	0.003	711	0.006	75	25	0	5948	2740	214	391	2	2	800	1730	3.74	0.13	0.29	63	58	14	0.093	0.044	0.612	0.471
15	8.03	81	1.77	5.35	0.92	2138	-0.046	642	-0.092	76	24	0	10180	3245	164	576	3	4	100	1000	0.61	0.01	0.03	65	29	14	0.114	0.029	0.364	0.256
16	8.20	86	1.98	5.58	0.63	2146	-0.043	659	-0.068	77	21	2	7046	3617	275	345	2	1	200	1200	0.73	0.03	0.06	62	58	15	0.077	0.039	0.482	0.511
17	7.35	76	1.87	5.28	0.20	2231	-0.005	713	0.009	68	31	1	8259	4926	394	536	2	1	200	1130	0.51	0.02	0.04	63	45	14	0.027	0.010	0.139	0.375
18	7.13	80	1.60	5.05	0.48	2155	-0.039	559	-0.209	61	35	4	9296	3899	307	359	2	1	200	1700	0.65	0.02	0.05	63	48	13	0.068	0.028	0.397	0.418
19	7.08	79	1.30	5.27	0.52	2222	-0.009	614	-0.131	78	22	0	9200	3497	300	472	3	2	300	1130	1.00	0.03	0.09	63	51	13	0.073	0.032	0.454	0.441
20	7.02	77	1.25	5.23	0.53	2421	0.080	814	0.152	65	32	2	7125	4059	333	341	2	1	600	1900	1.80	0.08	0.15	63	54	13	0.076	0.035	0.501	0.463
21	8.08	86	2	5.48	0.77	2300	0.026	756	0.070	66	34	0	8614	4284	343	2139	2	6	400	1800	1.17	0.05	0.09	64	54	14	0.095	0.046	0.572	0.487
